EAP,English for Academic Purposes
COS,Communication Skills
PDSM,Personal Development & Study Methods
EWA,Essentials of Web Applications
MM,Mathematics
ITB,Introduction to Business
FF,Funamental of Finance
GBT,Global Business Trends
PSE,Public Speaking in English
ARS,Academic Research Skills
ECO,Economics for Business
PT,Perspectives in Technology
FM,Further Mathematics
CC,Co-Curricular
PA,Principles of Accounts
DCDA,Discovering Media in the Digital Age
PBS,Psychology & Behavioral Science
FHTI,Fundamentals of Hospitality and Tourism Industry
